"","Time_windows","Acc_Acc","Acc_Rej","Rej_Acc","Rej_Rej"
"1","Cz 150-350ms",0.8,0.62,0.66,0.64
"2","Pz 200-400ms",0.69,0.66,0.65,0.61
"3","Fz 250-450ms",0.8,0.67,0.49,0.78
"4","Pz 400-1000ms",0.35,0.45,0.52,0.6
"5","Pz 600-1500ms",0.32,0.44,0.49,0.52
