"","condition","means","ID","trial","artifactFlag","bindescr"
"1","Acc_Acc",1.30332,1000,1,0,"AA (Acc-Acc)"
"2","Rej_Rej",-7.61368,1000,2,0,"RR (Rej-Rej)"
"3","Rej_Rej",7.92184,1000,3,0,"RR (Rej-Rej)"
"4","Acc_Acc",-4.3513,1000,4,0,"AA (Acc-Acc)"
"5","Acc_Rej",-0.984751,1000,5,0,"AR (Acc-Rej)"
"6","Rej_Rej",-0.350518,1000,6,0,"RR (Rej-Rej)"
"7","Acc_Acc",-5.67289,1000,7,0,"AA (Acc-Acc)"
"8","Acc_Rej",-7.14384,1000,8,0,"AR (Acc-Rej)"
"9","Rej_Rej",-3.85477,1000,9,0,"RR (Rej-Rej)"
"10","Acc_Acc",1.67808,1000,10,0,"AA (Acc-Acc)"
"11","Acc_Rej",3.25415,1000,11,0,"AR (Acc-Rej)"
"12","Acc_Acc",-0.96319,1000,12,0,"AA (Acc-Acc)"
"13","Rej_Rej",-1.03126,1000,13,0,"RR (Rej-Rej)"
"14","Rej_Acc",-22.0721,1000,14,0,"RA (Rej-Acc)"
"15","Acc_Rej",12.3517,1000,15,0,"AR (Acc-Rej)"
"16","Rej_Rej",-19.41,1000,17,0,"AA (Acc-Acc)"
"17","Acc_Rej",-7.05444,1000,18,0,"RR (Rej-Rej)"
"18","Rej_Acc",-6.03993,1000,19,0,"AR (Acc-Rej)"
"19","Rej_Acc",-5.95595,1000,20,0,"RA (Rej-Acc)"
"20","Acc_Rej",5.25542,1000,21,0,"RA (Rej-Acc)"
"21","Rej_Acc",-9.62852,1000,22,0,"AR (Acc-Rej)"
"22","Rej_Rej",-5.14962,1000,23,0,"RA (Rej-Acc)"
"23","Acc_Acc",-2.1301,1000,24,0,"RR (Rej-Rej)"
"24","Rej_Acc",-10.6702,1000,25,0,"AA (Acc-Acc)"
"25","Acc_Acc",4.62443,1000,26,0,"RA (Rej-Acc)"
"26","Rej_Acc",-3.2689,1000,28,0,"AA (Acc-Acc)"
"27","Rej_Rej",-6.96357,1000,29,0,"RR (Rej-Rej)"
