"","condition","means","ID","trial","artifactFlag","bindescr"
"1","Acc_Acc",-5.43571,1000,1,0,"AA (Acc-Acc)"
"2","Rej_Rej",-15.483,1000,2,0,"RR (Rej-Rej)"
"3","Rej_Rej",6.66707,1000,3,0,"RR (Rej-Rej)"
"4","Acc_Acc",-2.1437,1000,4,0,"AA (Acc-Acc)"
"5","Acc_Rej",-0.278478,1000,5,0,"AR (Acc-Rej)"
"6","Rej_Rej",9.40932,1000,6,0,"RR (Rej-Rej)"
"7","Acc_Acc",-0.930605,1000,7,0,"AA (Acc-Acc)"
"8","Acc_Rej",-4.20611,1000,8,0,"AR (Acc-Rej)"
"9","Rej_Rej",0.601684,1000,9,0,"RR (Rej-Rej)"
"10","Acc_Acc",2.88763,1000,10,0,"AA (Acc-Acc)"
"11","Acc_Rej",2.31759,1000,11,0,"AR (Acc-Rej)"
"12","Acc_Acc",3.8523,1000,12,0,"AA (Acc-Acc)"
"13","Rej_Rej",9.5195,1000,13,0,"RR (Rej-Rej)"
"14","Rej_Acc",-15.7817,1000,14,0,"RA (Rej-Acc)"
"15","Acc_Rej",14.0147,1000,15,0,"AR (Acc-Rej)"
"16","Acc_Acc",20.1325,1000,16,1,"AR (Acc-Rej)"
"17","Rej_Rej",-28.8751,1000,17,0,"AA (Acc-Acc)"
"18","Acc_Rej",-5.90251,1000,18,0,"RR (Rej-Rej)"
"19","Rej_Acc",-5.19193,1000,19,0,"AR (Acc-Rej)"
"20","Rej_Acc",16.6902,1000,20,0,"RA (Rej-Acc)"
"21","Acc_Rej",8.15279,1000,21,0,"RA (Rej-Acc)"
"22","Rej_Acc",-7.27967,1000,22,0,"AR (Acc-Rej)"
"23","Rej_Rej",8.52235,1000,23,0,"RA (Rej-Acc)"
"24","Acc_Acc",-13.2362,1000,24,0,"RR (Rej-Rej)"
"25","Rej_Acc",-14.3842,1000,25,0,"AA (Acc-Acc)"
"26","Acc_Acc",1.69458,1000,26,0,"RA (Rej-Acc)"
"27","Rej_Rej",21.6043,1000,27,1,"RR (Rej-Rej)"
"28","Rej_Acc",-9.19753,1000,28,0,"AA (Acc-Acc)"
"29","Rej_Rej",2.74285,1000,29,0,"RR (Rej-Rej)"
"30","Rej_Rej",13.559,1000,30,0,"RA (Rej-Acc)"
"31","Rej_Rej",0.00614066,1000,31,0,"RR (Rej-Rej)"
"32","Rej_Acc",-8.26799,1000,32,1,"AA (Acc-Acc)"
"33","Rej_Acc",-4.07751,1000,33,0,"RR (Rej-Rej)"
"34","Acc_Acc",-9.42853,1000,34,0,"RR (Rej-Rej)"
"35","Acc_Acc",-16.6082,1000,35,0,"RA (Rej-Acc)"
"36","Rej_Acc",4.0208,1000,36,0,"RA (Rej-Acc)"
"37","Acc_Rej",8.60791,1000,37,1,"AR (Acc-Rej)"
"38","Acc_Rej",7.58945,1000,38,0,"AA (Acc-Acc)"
"39","Acc_Acc",-7.12839,1000,39,0,"AA (Acc-Acc)"
"40","Rej_Acc",-3.79433,1000,40,0,"RA (Rej-Acc)"
"41","Rej_Acc",12.9588,1000,41,0,"AR (Acc-Rej)"
"42","Rej_Rej",-2.07937,1000,42,0,"AR (Acc-Rej)"
"43","Acc_Rej",3.25132,1000,43,0,"AA (Acc-Acc)"
"44","Acc_Acc",0.94395,1000,44,0,"RA (Rej-Acc)"
"45","Rej_Acc",-11.0615,1000,45,1,"AR (Acc-Rej)"
"46","Rej_Rej",-13.9779,1000,46,0,"RA (Rej-Acc)"
"47","Acc_Acc",15.3846,1000,47,0,"RR (Rej-Rej)"
"48","Acc_Acc",5.21432,1000,48,0,"AR (Acc-Rej)"
"49","Rej_Rej",2.73525,1000,49,0,"AA (Acc-Acc)"
"50","Acc_Rej",9.87324,1000,50,0,"RA (Rej-Acc)"
"51","Rej_Acc",-5.99043,1000,51,0,"RR (Rej-Rej)"
"52","Rej_Rej",9.48856,1000,52,0,"AA (Acc-Acc)"
"53","Acc_Acc",-2.43609,1000,53,0,"AA (Acc-Acc)"
"54","Acc_Rej",9.21128,1000,54,0,"RR (Rej-Rej)"
"55","Acc_Rej",-2.02634,1000,55,0,"AR (Acc-Rej)"
"56","Rej_Acc",-1.15532,1000,56,0,"RA (Rej-Acc)"
