"","condition","means","ID","trial","artifactFlag","bindescr"
"75","Rej_Rej",-15.3935,1000,84,0,"RR (Rej-Rej)"
"76","Acc_Acc",-4.32491,1000,85,0,"AR (Acc-Rej)"
"77","Acc_Acc",15.4487,1000,86,0,"RA (Rej-Acc)"
"78","Rej_Rej",-9.19714,1000,87,0,"RR (Rej-Rej)"
"79","Rej_Acc",-27.0727,1000,88,0,"RA (Rej-Acc)"
"80","Rej_Rej",-25.4432,1000,89,0,"AR (Acc-Rej)"
"81","Acc_Acc",2.94292,1001,1,0,"AA (Acc-Acc)"
"82","Rej_Rej",25.2493,1001,2,0,"RR (Rej-Rej)"
"83","Rej_Rej",10.5783,1001,3,0,"RR (Rej-Rej)"
"84","Acc_Acc",-12.5166,1001,4,0,"AA (Acc-Acc)"
"85","Acc_Rej",37.4371,1001,5,0,"AR (Acc-Rej)"
"86","Rej_Rej",9.53778,1001,6,0,"RR (Rej-Rej)"
"87","Acc_Rej",34.8332,1001,9,0,"RR (Rej-Rej)"
"88","Acc_Acc",4.30193,1001,10,0,"AA (Acc-Acc)"
"89","Rej_Rej",-11.4342,1001,11,0,"AR (Acc-Rej)"
"90","Rej_Acc",-5.44273,1001,12,0,"AA (Acc-Acc)"
"91","Acc_Rej",1.39881,1001,13,0,"RR (Rej-Rej)"
"92","Acc_Acc",19.474,1001,14,0,"RA (Rej-Acc)"
"93","Rej_Rej",11.2155,1001,15,0,"AR (Acc-Rej)"
"94","Rej_Acc",6.8862,1001,17,0,"AA (Acc-Acc)"
"95","Rej_Acc",17.8235,1001,18,0,"RR (Rej-Rej)"
"96","Rej_Acc",21.2929,1001,19,0,"AR (Acc-Rej)"
"97","Rej_Rej",10.0259,1001,20,0,"RA (Rej-Acc)"
"98","Acc_Acc",-6.76538,1001,21,0,"RA (Rej-Acc)"
"99","Rej_Rej",-7.48387,1001,23,0,"RA (Rej-Acc)"
"100","Acc_Acc",21.6869,1001,24,0,"RR (Rej-Rej)"
"101","Rej_Rej",4.55517,1001,25,0,"AA (Acc-Acc)"
"102","Rej_Acc",12.4283,1001,26,0,"RA (Rej-Acc)"
"103","Rej_Rej",15.6868,1001,27,0,"RR (Rej-Rej)"
"104","Acc_Acc",15.8995,1001,28,0,"AA (Acc-Acc)"
"105","Rej_Rej",12.4796,1001,29,0,"RR (Rej-Rej)"
"106","Rej_Acc",11.4063,1001,30,0,"RA (Rej-Acc)"
"107","Acc_Rej",16.0924,1001,31,0,"RR (Rej-Rej)"
"108","Acc_Acc",35.5779,1001,32,0,"AA (Acc-Acc)"
"109","Acc_Acc",9.5556,1001,33,0,"RR (Rej-Rej)"
"110","Acc_Rej",-16.1991,1001,36,0,"RA (Rej-Acc)"
"111","Acc_Acc",14.037,1001,37,0,"AR (Acc-Rej)"
"112","Rej_Acc",-1.24323,1001,38,0,"AA (Acc-Acc)"
"113","Acc_Rej",27.1591,1001,39,0,"AA (Acc-Acc)"
