"","condition","means","ID","trial","artifactFlag","bindescr"
"1","Acc_Acc",-5.43571,1000,1,0,"AA (Acc-Acc)"
"2","Rej_Rej",-15.483,1000,2,0,"RR (Rej-Rej)"
"3","Rej_Rej",6.66707,1000,3,0,"RR (Rej-Rej)"
"4","Acc_Acc",-2.1437,1000,4,0,"AA (Acc-Acc)"
"5","Acc_Rej",-0.278478,1000,5,0,"AR (Acc-Rej)"
"6","Rej_Rej",9.40932,1000,6,0,"RR (Rej-Rej)"
"7","Acc_Acc",-0.930605,1000,7,0,"AA (Acc-Acc)"
"8","Acc_Rej",-4.20611,1000,8,0,"AR (Acc-Rej)"
"9","Rej_Rej",0.601684,1000,9,0,"RR (Rej-Rej)"
"10","Acc_Acc",2.88763,1000,10,0,"AA (Acc-Acc)"
"11","Acc_Rej",2.31759,1000,11,0,"AR (Acc-Rej)"
"12","Acc_Acc",3.8523,1000,12,0,"AA (Acc-Acc)"
"13","Rej_Rej",9.5195,1000,13,0,"RR (Rej-Rej)"
"14","Rej_Acc",-15.7817,1000,14,0,"RA (Rej-Acc)"
"15","Acc_Rej",14.0147,1000,15,0,"AR (Acc-Rej)"
"16","Rej_Rej",-28.8751,1000,17,0,"AA (Acc-Acc)"
"17","Acc_Rej",-5.90251,1000,18,0,"RR (Rej-Rej)"
"18","Rej_Acc",-5.19193,1000,19,0,"AR (Acc-Rej)"
"19","Rej_Acc",16.6902,1000,20,0,"RA (Rej-Acc)"
"20","Acc_Rej",8.15279,1000,21,0,"RA (Rej-Acc)"
"21","Rej_Acc",-7.27967,1000,22,0,"AR (Acc-Rej)"
"22","Rej_Rej",8.52235,1000,23,0,"RA (Rej-Acc)"
"23","Acc_Acc",-13.2362,1000,24,0,"RR (Rej-Rej)"
"24","Rej_Acc",-14.3842,1000,25,0,"AA (Acc-Acc)"
"25","Acc_Acc",1.69458,1000,26,0,"RA (Rej-Acc)"
"26","Rej_Acc",-9.19753,1000,28,0,"AA (Acc-Acc)"
"27","Rej_Rej",2.74285,1000,29,0,"RR (Rej-Rej)"
"28","Rej_Rej",13.559,1000,30,0,"RA (Rej-Acc)"
"29","Rej_Rej",0.00614066,1000,31,0,"RR (Rej-Rej)"
"30","Rej_Acc",-4.07751,1000,33,0,"RR (Rej-Rej)"
"31","Acc_Acc",-9.42853,1000,34,0,"RR (Rej-Rej)"
"32","Acc_Acc",-16.6082,1000,35,0,"RA (Rej-Acc)"
"33","Rej_Acc",4.0208,1000,36,0,"RA (Rej-Acc)"
"34","Acc_Rej",7.58945,1000,38,0,"AA (Acc-Acc)"
"35","Acc_Acc",-7.12839,1000,39,0,"AA (Acc-Acc)"
"36","Rej_Acc",-3.79433,1000,40,0,"RA (Rej-Acc)"
"37","Rej_Acc",12.9588,1000,41,0,"AR (Acc-Rej)"
"38","Rej_Rej",-2.07937,1000,42,0,"AR (Acc-Rej)"
"39","Acc_Rej",3.25132,1000,43,0,"AA (Acc-Acc)"
"40","Acc_Acc",0.94395,1000,44,0,"RA (Rej-Acc)"
"41","Rej_Rej",-13.9779,1000,46,0,"RA (Rej-Acc)"
"42","Acc_Acc",15.3846,1000,47,0,"RR (Rej-Rej)"
"43","Acc_Acc",5.21432,1000,48,0,"AR (Acc-Rej)"
"44","Rej_Rej",2.73525,1000,49,0,"AA (Acc-Acc)"
"45","Acc_Rej",9.87324,1000,50,0,"RA (Rej-Acc)"
"46","Rej_Acc",-5.99043,1000,51,0,"RR (Rej-Rej)"
"47","Rej_Rej",9.48856,1000,52,0,"AA (Acc-Acc)"
"48","Acc_Acc",-2.43609,1000,53,0,"AA (Acc-Acc)"
"49","Acc_Rej",9.21128,1000,54,0,"RR (Rej-Rej)"
"50","Acc_Rej",-2.02634,1000,55,0,"AR (Acc-Rej)"
"51","Rej_Acc",-1.15532,1000,56,0,"RA (Rej-Acc)"
"52","Rej_Rej",-4.48781,1000,57,0,"RR (Rej-Rej)"
"53","Acc_Acc",-3.90065,1000,58,0,"AA (Acc-Acc)"
"54","Acc_Rej",0.725766,1000,59,0,"AR (Acc-Rej)"
"55","Rej_Acc",10.9321,1000,60,0,"AR (Acc-Rej)"
"56","Acc_Acc",-15.6051,1000,61,0,"RA (Rej-Acc)"
