"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G17001509604002","91","9","170159604002"
"G17001509604003","82","8","170159604003"
"G17001509605001","68","7","170159605001"
"G17001509605002","69","7","170159605002"
"G17001509605003","88","9","170159605003"
"G17001509606001","75","8","170159606001"
"G17001509606002","GQ","GQ","170159606002"
"G17001709601001","87","9","170179601001"
"G17001709601002","80","8","170179601002"
"G17001709601003","77","8","170179601003"
"G17001709602001","90","9","170179602001"
"G17001709602002","82","8","170179602002"
"G17001709602003","67","7","170179602003"
"G17001709603001","47","4","170179603001"
"G17001709603002","77","8","170179603002"
"G17001709603003","88","9","170179603003"
"G17001709604001","88","9","170179604001"
"G17001709604002","95","10","170179604002"
"G17001709605001","94","10","170179605001"
"G17001709605002","89","9","170179605002"
"G17001709605003","91","9","170179605003"
"G17001900002001","95","10","170190002001"
"G17001900002002","98","10","170190002002"
"G17001900003011","81","8","170190003011"
"G17001900003012","81","8","170190003012"
"G17001900003013","81","8","170190003013"
"G17001900003021","80","8","170190003021"
"G17001900003022","80","8","170190003022"
"G17001900003023","80","8","170190003023"
"G17001900004011","GQ","GQ","170190004011"
"G17001900004012","GQ","GQ","170190004012"
"G17001900004021","81","8","170190004021"
"G17001900004022","83","9","170190004022"
"G17001900005001","75","8","170190005001"
"G17001900005002","35","3","170190005002"
"G17001900005003","49","5","170190005003"
"G17001900005004","47","4","170190005004"
"G17001900007001","93","10","170190007001"
"G17001900007002","96","10","170190007002"
"G17001900007003","91","9","170190007003"
"G17001900008001","69","7","170190008001"
"G17001900008002","87","9","170190008002"
"G17001900008003","60","6","170190008003"
"G17001900008004","54","5","170190008004"
"G17001900009011","88","9","170190009011"
"G17001900009012","89","9","170190009012"
"G17001900009013","95","10","170190009013"
"G17001900009014","94","10","170190009014"
"G17001900009021","78","8","170190009021"
"G17001900009022","51","5","170190009022"
"G17001900009023","57","6","170190009023"
"G17001900010001","68","7","170190010001"
"G17001900010002","49","5","170190010002"
"G17001900010003","65","6","170190010003"
"G17001900010004","79","8","170190010004"
"G17001900010005","91","9","170190010005"
"G17001900011001","57","6","170190011001"
"G17001900011002","46","4","170190011002"
"G17001900011003","57","6","170190011003"
"G17001900012011","78","8","170190012011"
"G17001900012012","83","9","170190012012"
"G17001900012013","77","8","170190012013"
"G17001900012014","77","8","170190012014"
"G17001900012015","80","8","170190012015"
"G17001900012031","72","7","170190012031"
"G17001900012032","55","5","170190012032"
"G17001900012033","46","4","170190012033"
"G17001900012041","28","2","170190012041"
"G17001900012051","15","1","170190012051"
"G17001900012052","53","5","170190012052"
"G17001900012061","34","3","170190012061"
"G17001900013011","67","7","170190013011"
"G17001900013012","37","3","170190013012"
"G17001900013013","47","4","170190013013"
"G17001900013014","53","5","170190013014"
"G17001900013015","57","6","170190013015"
"G17001900013021","56","5","170190013021"
"G17001900013022","31","3","170190013022"
"G17001900013023","34","3","170190013023"
"G17001900014001","30","3","170190014001"
"G17001900014002","GQ","GQ","170190014002"
"G17001900014003","100","10","170190014003"
"G17001900053001","94","10","170190053001"
"G17001900053002","95","10","170190053002"
"G17001900053003","95","10","170190053003"
"G17001900053004","95","10","170190053004"
"G17001900054011","60","6","170190054011"
"G17001900054012","82","8","170190054012"
"G17001900054013","87","9","170190054013"
"G17001900054021","99","10","170190054021"
"G17001900054022","57","6","170190054022"
"G17001900054023","73","7","170190054023"
"G17001900055001","71","7","170190055001"
"G17001900055002","47","4","170190055002"
"G17001900055003","90","9","170190055003"
"G17001900055004","81","8","170190055004"
"G17001900055005","76","8","170190055005"
"G17001900056011","79","8","170190056011"
"G17001900056012","73","7","170190056012"
"G17001900056013","73","7","170190056013"
"G17001900056014","69","7","170190056014"
"G17001900056015","74","7","170190056015"
"G17001900056021","62","6","170190056021"
"G17001900056022","34","3","170190056022"
"G17001900057011","75","8","170190057011"
"G17001900057012","78","8","170190057012"
"G17001900057013","46","4","170190057013"
"G17001900057014","61","6","170190057014"
"G17001900057021","42","4","170190057021"
"G17001900058001","61","6","170190058001"
"G17001900058002","61","6","170190058002"
"G17001900058003","58","6","170190058003"
"G17001900058004","33","3","170190058004"
"G17001900058005","42","4","170190058005"
"G17001900059011","GQ","GQ","170190059011"
"G17001900059021","GQ","GQ","170190059021"
"G17001900059022","GQ","GQ","170190059022"
"G17001900060001","GQ-PH","GQ-PH","170190060001"
"G17001900060002","75","8","170190060002"
"G17001900101001","85","9","170190101001"
"G17001900101002","98","10","170190101002"
"G17001900101003","84","9","170190101003"
"G17001900101004","71","7","170190101004"
"G17001900102041","90","9","170190102041"
"G17001900102042","75","8","170190102042"
"G17001900102043","84","9","170190102043"
"G17001900102044","96","10","170190102044"
"G17001900102045","81","8","170190102045"
"G17001900103001","87","9","170190103001"
"G17001900103002","94","10","170190103002"
"G17001900104001","74","7","170190104001"
"G17001900104002","50","5","170190104002"
"G17001900104003","63","6","170190104003"
"G17001900104004","57","6","170190104004"
"G17001900104005","82","8","170190104005"
"G17001900105001","34","3","170190105001"
"G17001900105002","48","4","170190105002"
"G17001900105003","24","2","170190105003"
"G17001900105004","65","6","170190105004"
"G17001900106011","39","3","170190106011"
"G17001900106012","47","4","170190106012"
"G17001900106013","44","4","170190106013"
"G17001900106031","97","10","170190106031"
"G17001900106032","41","4","170190106032"
"G17001900106033","39","3","170190106033"
"G17001900106034","20","2","170190106034"
"G17001900106041","43","4","170190106041"
"G17001900106042","52","5","170190106042"
"G17001900107011","54","5","170190107011"
"G17001900107012","43","4","170190107012"
"G17001900107013","32","3","170190107013"
"G17001900107021","55","5","170190107021"
"G17001900107022","68","7","170190107022"
"G17001900107023","59","6","170190107023"
"G17001900107024","42","4","170190107024"
"G17001900108001","82","8","170190108001"
"G17001900108002","40","4","170190108002"
"G17001900108003","62","6","170190108003"
"G17001900108004","57","6","170190108004"
"G17001900108005","50","5","170190108005"
"G17001900109011","52","5","170190109011"
"G17001900109012","33","3","170190109012"
"G17001900109013","64","6","170190109013"
"G17001900109014","68","7","170190109014"
"G17001900109015","29","2","170190109015"
"G17001900109016","52","5","170190109016"
"G17001900109017","QDI","QDI","170190109017"
"G17001900109021","66","7","170190109021"
"G17001900109022","49","5","170190109022"
"G17001900109023","77","8","170190109023"
"G17001900109024","63","6","170190109024"
"G17001900110011","81","8","170190110011"
"G17001900110012","62","6","170190110012"
"G17001900110013","85","9","170190110013"
"G17001900110021","58","6","170190110021"
"G17001900110022","60","6","170190110022"
"G17001900111001","74","7","170190111001"
"G17001900111002","76","8","170190111002"
"G17001900111003","76","8","170190111003"
"G17002109581001","83","9","170219581001"
"G17002109581002","47","4","170219581002"
"G17002109581003","72","7","170219581003"
"G17002109582001","81","8","170219582001"
"G17002109582002","87","9","170219582002"
"G17002109582003","74","7","170219582003"
"G17002109582004","81","8","170219582004"
"G17002109583001","84","9","170219583001"
"G17002109583002","92","10","170219583002"
"G17002109583003","75","8","170219583003"
"G17002109583004","93","10","170219583004"
"G17002109584001","70","7","170219584001"
"G17002109584002","87","9","170219584002"
"G17002109584003","81","8","170219584003"
"G17002109584004","93","10","170219584004"
"G17002109584005","87","9","170219584005"
"G17002109585001","96","10","170219585001"
"G17002109585002","93","10","170219585002"
"G17002109585003","92","10","170219585003"
"G17002109586001","83","9","170219586001"
"G17002109586002","44","4","170219586002"
"G17002109586003","64","6","170219586003"
"G17002109587001","93","10","170219587001"
"G17002109587002","91","9","170219587002"
"G17002109587003","GQ","GQ","170219587003"
"G17002109587004","63","6","170219587004"
"G17002109588001","91","9","170219588001"
"G17002109588002","79","8","170219588002"
"G17002109588003","84","9","170219588003"
"G17002109589001","96","10","170219589001"
"G17002109589002","96","10","170219589002"
"G17002109589003","95","10","170219589003"
"G17002109590001","86","9","170219590001"
"G17002109590002","76","8","170219590002"
"G17002109590003","78","8","170219590003"
"G17002109590004","76","8","170219590004"
"G17002109590005","55","5","170219590005"
"G17002300601001","61","6","170230601001"
"G17002300601002","73","7","170230601002"
"G17002300601003","55","5","170230601003"
"G17002300601004","66","7","170230601004"
"G17002300601005","67","7","170230601005"
"G17002300601006","88","9","170230601006"
"G17002300602001","69","7","170230602001"
"G17002300602002","79","8","170230602002"
"G17002300602003","65","6","170230602003"
"G17002300602004","83","9","170230602004"
"G17002300602005","89","9","170230602005"
